Latitude (decimal degrees):	34.057
Longitude (decimal degrees):	-6.768
Elevation (m):	74
Radiation database:	PVGIS-SARAH3


Slope: 32 deg. (optimum)
Azimuth: 3 deg. (optimum)
Nominal power of the PV system (CIS) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200104:2309,0.0,0.0,0.0,9.08,1.52,0.0
20200105:0009,0.0,0.0,0.0,8.61,1.59,0.0
20200105:0109,0.0,0.0,0.0,8.14,1.59,0.0
20200105:0209,0.0,0.0,0.0,7.45,1.59,0.0
20200105:0309,0.0,0.0,0.0,7.04,1.66,0.0
20200105:0409,0.0,0.0,0.0,6.79,1.66,0.0
20200105:0509,0.0,0.0,0.0,6.85,1.72,0.0
20200105:0609,0.0,0.0,0.0,6.84,1.79,0.0
20200105:0709,0.0,0.0,0.0,6.89,1.79,0.0
20200105:0809,144.09,192.23,5.74,7.0,1.72,0.0
20200105:0909,383.92,474.82,15.64,9.39,1.03,0.0
20200105:1009,554.67,696.24,23.96,12.77,0.76,0.0
20200105:1109,667.3,861.65,30.02,14.43,0.48,0.0
20200105:1209,710.98,927.19,33.07,15.62,0.83,0.0
20200105:1309,696.63,900.57,32.63,16.37,1.38,0.0
20200105:1409,658.41,840.82,28.77,16.72,1.79,0.0
20200105:1509,523.8,658.79,22.08,16.77,1.79,0.0
20200105:1609,334.45,422.71,13.31,16.16,2.14,0.0
20200105:1709,29.02,49.0,3.1,14.81,2.07,0.0
20200105:1809,0.0,0.0,0.0,13.27,2.0,0.0
20200105:1909,0.0,0.0,0.0,12.49,1.93,0.0
20200105:2009,0.0,0.0,0.0,11.79,1.38,0.0
20200105:2109,0.0,0.0,0.0,12.26,0.41,0.0
20200105:2209,0.0,0.0,0.0,11.53,0.76,0.0
20200105:2309,0.0,0.0,0.0,9.92,1.17,0.0
20200106:0009,0.0,0.0,0.0,8.98,1.38,0.0
20200106:0109,0.0,0.0,0.0,8.39,1.24,0.0
20200106:0209,0.0,0.0,0.0,8.34,1.38,0.0
20200106:0309,0.0,0.0,0.0,8.76,1.52,0.0
20200106:0409,0.0,0.0,0.0,8.98,1.52,0.0
20200106:0509,0.0,0.0,0.0,9.09,1.59,0.0
20200106:0609,0.0,0.0,0.0,8.99,1.66,0.0
20200106:0709,0.0,0.0,0.0,8.89,1.66,0.0
20200106:0809,63.33,89.3,5.75,9.13,1.86,0.0
20200106:0909,198.32,249.05,15.66,9.62,1.59,0.0
20200106:1009,195.63,247.82,24.01,11.11,1.1,0.0
20200106:1109,660.7,842.3,30.1,13.06,0.83,0.0
20200106:1209,729.86,937.72,33.18,14.92,1.79,0.0
20200106:1309,717.92,914.24,32.76,15.88,2.62,0.0
20200106:1409,662.25,833.56,28.91,16.34,3.03,0.0
20200106:1509,526.74,653.8,22.23,16.14,3.24,0.0
20200106:1609,344.51,431.82,13.46,15.65,3.24,0.0
20200106:1709,59.21,90.75,3.25,14.62,2.62,0.0
20200106:1809,0.0,0.0,0.0,13.25,2.34,0.0
20200106:1909,0.0,0.0,0.0,12.52,2.07,0.0
20200106:2009,0.0,0.0,0.0,11.85,1.93,0.0
20200106:2109,0.0,0.0,0.0,11.22,1.72,0.0
20200106:2209,0.0,0.0,0.0,10.64,1.72,0.0
20200106:2309,0.0,0.0,0.0,9.82,1.72,0.0
20200107:0009,0.0,0.0,0.0,9.09,1.72,0.0
20200107:0109,0.0,0.0,0.0,8.33,1.72,0.0
20200107:0209,0.0,0.0,0.0,7.77,1.79,0.0
20200107:0309,0.0,0.0,0.0,7.43,1.86,0.0
20200107:0409,0.0,0.0,0.0,7.17,1.93,0.0
20200107:0509,0.0,0.0,0.0,6.97,2.0,0.0
20200107:0609,0.0,0.0,0.0,6.71,2.07,0.0
20200107:0709,0.0,0.0,0.0,6.47,1.86,0.0
20200107:0809,146.23,194.2,5.75,6.16,1.52,0.0
20200107:0909,397.48,489.1,15.69,8.57,1.38,0.0
20200107:1009,575.64,712.72,24.06,11.08,1.66,0.0
20200107:1109,687.71,870.45,30.18,13.12,1.72,0.0
20200107:1209,741.29,956.06,33.29,14.9,1.72,0.0
20200107:1309,731.75,946.9,32.89,16.52,1.86,0.0
20200107:1409,676.87,863.98,29.06,17.37,2.34,0.0
20200107:1509,547.98,687.37,22.38,17.46,2.69,0.0
20200107:1609,361.52,455.96,13.61,16.82,2.69,0.0
20200107:1709,54.1,84.11,3.4,15.3,2.55,0.0
20200107:1809,0.0,0.0,0.0,13.5,2.55,0.0
20200107:1909,0.0,0.0,0.0,12.47,1.86,0.0
20200107:2009,0.0,0.0,0.0,11.52,1.52,0.0
20200107:2109,0.0,0.0,0.0,10.86,1.17,0.0
20200107:2209,0.0,0.0,0.0,10.01,1.24,0.0
20200107:2309,0.0,0.0,0.0,8.18,1.72,0.0
20200108:0009,0.0,0.0,0.0,7.46,1.72,0.0
20200108:0109,0.0,0.0,0.0,6.83,1.72,0.0
20200108:0209,0.0,0.0,0.0,6.46,1.66,0.0
20200108:0309,0.0,0.0,0.0,6.07,1.59,0.0
20200108:0409,0.0,0.0,0.0,5.88,1.45,0.0
20200108:0509,0.0,0.0,0.0,5.62,1.45,0.0
20200108:0609,0.0,0.0,0.0,5.41,1.45,0.0
20200108:0709,0.0,0.0,0.0,5.06,1.38,0.0
20200108:0809,144.84,191.52,5.76,5.06,1.38,0.0
20200108:0909,395.39,487.5,15.73,8.17,0.9,0.0
20200108:1009,566.47,712.32,24.12,12.57,0.69,0.0
20200108:1109,671.42,870.13,30.27,14.67,0.41,0.0
20200108:1209,729.78,956.94,33.41,16.26,0.97,0.0
20200108:1309,725.05,940.01,33.04,17.25,1.86,0.0
20200108:1409,660.64,840.7,29.22,17.52,2.48,0.0
20200108:1509,545.08,682.76,22.55,17.15,2.69,0.0
20200108:1609,359.83,453.82,13.78,16.31,2.28,0.0
20200108:1709,53.31,82.71,3.56,14.96,1.79,0.0
20200108:1809,0.0,0.0,0.0,13.48,1.66,0.0
20200108:1909,0.0,0.0,0.0,12.24,1.24,0.0
20200108:2009,0.0,0.0,0.0,12.45,0.48,0.0
20200108:2109,0.0,0.0,0.0,11.93,0.48,0.0
20200108:2209,0.0,0.0,0.0,11.18,0.83,0.0
20200108:2309,0.0,0.0,0.0,10.21,1.1,0.0
20200109:0009,0.0,0.0,0.0,8.57,1.45,0.0
20200109:0109,0.0,0.0,0.0,7.23,1.59,0.0
20200109:0209,0.0,0.0,0.0,6.23,1.72,0.0
20200109:0309,0.0,0.0,0.0,6.12,1.86,0.0
20200109:0409,0.0,0.0,0.0,6.19,1.93,0.0
20200109:0509,0.0,0.0,0.0,6.3,2.0,0.0
20200109:0609,0.0,0.0,0.0,6.49,2.0,0.0
20200109:0709,0.0,0.0,0.0,6.73,2.0,0.0
20200109:0809,137.91,184.27,5.78,6.81,1.93,0.0
20200109:0909,383.15,472.68,15.77,9.0,1.24,0.0
20200109:1009,424.0,527.52,24.19,12.82,0.97,0.0
20200109:1109,673.41,861.19,30.37,14.87,1.31,0.0
20200109:1209,341.49,430.56,33.54,16.1,1.79,0.0
20200109:1309,458.19,576.96,33.19,16.86,1.79,0.0
20200109:1409,579.4,734.09,29.38,17.2,1.86,0.0
20200109:1509,427.27,535.7,22.71,17.06,2.0,0.0
20200109:1609,283.11,360.29,13.94,16.49,1.86,0.0
20200109:1709,27.84,47.27,3.72,15.33,1.93,0.0
20200109:1809,0.0,0.0,0.0,13.59,2.28,0.0
20200109:1909,0.0,0.0,0.0,12.73,1.52,0.0
20200109:2009,0.0,0.0,0.0,11.78,1.17,0.0
20200109:2109,0.0,0.0,0.0,10.84,1.17,0.0
20200109:2209,0.0,0.0,0.0,12.29,0.55,0.0
20200109:2309,0.0,0.0,0.0,11.58,0.83,0.0
20200110:0009,0.0,0.0,0.0,11.31,0.69,0.0
20200110:0109,0.0,0.0,0.0,10.96,0.9,0.0
20200110:0209,0.0,0.0,0.0,10.18,1.1,0.0
20200110:0309,0.0,0.0,0.0,10.14,1.59,0.0
20200110:0409,0.0,0.0,0.0,10.3,1.79,0.0
20200110:0509,0.0,0.0,0.0,10.55,1.72,0.0
20200110:0609,0.0,0.0,0.0,10.91,1.72,0.0
20200110:0709,0.0,0.0,0.0,11.25,2.0,0.0
20200110:0809,137.91,189.08,5.81,11.17,2.55,0.0
20200110:0909,354.66,439.69,15.81,12.03,2.48,0.0
20200110:1009,563.16,698.82,24.26,13.77,2.41,0.0
20200110:1109,664.01,844.61,30.47,15.09,1.66,0.0
20200110:1209,171.52,224.64,33.67,15.79,2.0,0.0
20200110:1309,50.34,75.19,33.35,16.08,2.9,0.0
20200110:1409,126.84,169.31,29.55,15.53,3.31,0.0
20200110:1509,124.68,165.88,22.89,15.09,3.24,0.0
20200110:1609,90.4,123.66,14.11,14.57,2.9,0.0
20200110:1709,20.25,35.25,3.88,13.96,2.34,0.0
20200110:1809,0.0,0.0,0.0,13.2,1.86,0.0
20200110:1909,0.0,0.0,0.0,12.86,2.0,0.0
20200110:2009,0.0,0.0,0.0,12.64,1.66,0.0
20200110:2109,0.0,0.0,0.0,12.24,1.52,0.0
20200110:2209,0.0,0.0,0.0,11.59,1.03,0.0
20200110:2309,0.0,0.0,0.0,11.92,0.48,0.0
20200111:0009,0.0,0.0,0.0,11.78,0.28,0.0
20200111:0109,0.0,0.0,0.0,11.52,0.48,0.0
20200111:0209,0.0,0.0,0.0,11.15,0.62,0.0
20200111:0309,0.0,0.0,0.0,10.34,0.83,0.0
20200111:0409,0.0,0.0,0.0,9.35,1.24,0.0
20200111:0509,0.0,0.0,0.0,9.0,1.45,0.0
20200111:0609,0.0,0.0,0.0,8.75,1.79,0.0
20200111:0709,0.0,0.0,0.0,8.3,1.72,0.0
20200111:0809,83.77,115.25,5.84,8.06,1.86,0.0
20200111:0909,384.09,474.13,15.86,10.03,1.79,0.0
20200111:1009,564.64,695.95,24.34,11.91,2.41,0.0
20200111:1109,691.74,864.59,30.58,13.71,3.1,0.0
20200111:1209,753.74,954.24,33.81,15.2,3.45,0.0
20200111:1309,741.25,938.63,33.51,16.22,3.66,0.0
20200111:1409,692.26,866.19,29.73,16.8,4.41,0.0
20200111:1509,555.48,686.6,23.06,17.15,4.83,0.0
20200111:1609,373.71,467.05,14.28,17.0,4.55,0.0
20200111:1709,66.67,100.59,4.05,15.93,4.0,0.0
20200111:1809,0.0,0.0,0.0,14.41,3.72,0.0
20200111:1909,0.0,0.0,0.0,13.61,3.59,0.0
20200111:2009,0.0,0.0,0.0,12.97,3.59,0.0
20200111:2109,0.0,0.0,0.0,12.37,3.52,0.0
20200111:2209,0.0,0.0,0.0,11.92,3.66,0.0
20200111:2309,0.0,0.0,0.0,11.64,3.86,0.0
20200112:0009,0.0,0.0,0.0,11.3,4.0,0.0
20200112:0109,0.0,0.0,0.0,10.91,4.07,0.0
20200112:0209,0.0,0.0,0.0,10.53,4.14,0.0
20200112:0309,0.0,0.0,0.0,10.24,4.07,0.0
20200112:0409,0.0,0.0,0.0,9.95,3.93,0.0
20200112:0509,0.0,0.0,0.0,9.65,3.72,0.0
20200112:0609,0.0,0.0,0.0,9.29,3.45,0.0
20200112:0709,0.0,0.0,0.0,8.65,3.45,0.0
20200112:0809,146.87,197.37,5.87,8.42,3.1,0.0
20200112:0909,391.1,479.29,15.92,9.72,2.9,0.0
20200112:1009,576.7,708.35,24.43,12.01,3.03,0.0
20200112:1109,692.0,868.09,30.7,14.2,2.97,0.0
20200112:1209,749.49,955.8,33.96,15.92,3.03,0.0
20200112:1309,735.73,941.16,33.68,17.15,3.03,0.0
20200112:1409,684.63,869.56,29.91,17.81,3.1,0.0
20200112:1509,563.35,705.87,23.24,17.88,3.17,0.0
20200112:1609,374.38,471.9,14.46,17.39,2.9,0.0
20200112:1709,83.5,123.46,4.22,16.09,2.34,0.0
20200112:1809,0.0,0.0,0.0,14.44,2.41,0.0
20200112:1909,0.0,0.0,0.0,13.52,2.14,0.0
20200112:2009,0.0,0.0,0.0,12.71,1.79,0.0
20200112:2109,0.0,0.0,0.0,11.66,1.52,0.0
20200112:2209,0.0,0.0,0.0,10.54,1.38,0.0
20200112:2309,0.0,0.0,0.0,9.8,1.45,0.0
20200113:0009,0.0,0.0,0.0,9.19,1.45,0.0
20200113:0109,0.0,0.0,0.0,8.43,1.52,0.0
20200113:0209,0.0,0.0,0.0,7.28,1.79,0.0
20200113:0309,0.0,0.0,0.0,6.74,1.86,0.0
20200113:0409,0.0,0.0,0.0,6.24,1.72,0.0
20200113:0509,0.0,0.0,0.0,5.81,1.66,0.0
20200113:0609,0.0,0.0,0.0,5.47,1.66,0.0
20200113:0709,0.0,0.0,0.0,5.21,1.79,0.0
20200113:0809,147.53,195.52,5.91,5.25,1.79,0.0
20200113:0909,381.24,469.26,15.99,8.05,1.1,0.0
20200113:1009,549.65,691.47,24.52,12.68,0.55,0.0
20200113:1109,654.28,841.09,30.83,15.29,0.9,0.0
20200113:1209,722.26,936.58,34.12,16.64,1.66,0.0
20200113:1309,720.07,928.82,33.86,17.28,2.21,0.0
20200113:1409,673.78,859.95,30.1,17.39,2.34,0.0
20200113:1509,550.13,691.57,23.43,17.12,2.28,0.0
20200113:1609,366.98,463.46,14.64,16.5,1.93,0.0
20200113:1709,79.54,117.56,4.39,15.31,1.24,0.0
20200113:1809,0.0,0.0,0.0,13.92,0.76,0.0
20200113:1909,0.0,0.0,0.0,13.42,0.55,0.0
20200113:2009,0.0,0.0,0.0,11.86,0.97,0.0
20200113:2109,0.0,0.0,0.0,10.69,1.17,0.0
20200113:2209,0.0,0.0,0.0,9.93,1.17,0.0
20200113:2309,0.0,0.0,0.0,9.59,1.17,0.0
20200114:0009,0.0,0.0,0.0,9.91,1.03,0.0
20200114:0109,0.0,0.0,0.0,9.93,1.1,0.0
20200114:0209,0.0,0.0,0.0,8.6,1.38,0.0
20200114:0309,0.0,0.0,0.0,7.08,1.66,0.0
20200114:0409,0.0,0.0,0.0,6.42,1.72,0.0
20200114:0509,0.0,0.0,0.0,6.21,1.79,0.0
20200114:0609,0.0,0.0,0.0,6.18,1.93,0.0
20200114:0709,0.0,0.0,0.0,6.41,1.93,0.0
20200114:0809,105.45,141.96,5.96,6.38,1.79,0.0
20200114:0909,412.6,509.87,16.06,8.77,1.03,0.0
20200114:1009,546.67,687.08,24.62,12.56,0.55,0.0
20200114:1109,638.74,823.66,30.96,14.9,0.41,0.0
20200114:1209,699.4,917.8,34.28,16.25,0.55,0.0
20200114:1309,755.45,1004.27,34.04,17.13,0.83,0.0
20200114:1409,538.84,688.05,30.29,17.63,0.97,0.0
20200114:1509,558.74,714.26,23.62,17.68,0.9,0.0
20200114:1609,321.93,411.66,14.82,17.33,0.83,0.0
20200114:1709,25.43,43.91,4.57,16.25,1.38,0.0
20200114:1809,0.0,0.0,0.0,14.82,1.52,0.0
20200114:1909,0.0,0.0,0.0,13.43,1.24,0.0
20200114:2009,0.0,0.0,0.0,12.5,0.83,0.0
20200114:2109,0.0,0.0,0.0,11.0,1.31,0.0
20200114:2209,0.0,0.0,0.0,9.89,1.86,0.0
20200114:2309,0.0,0.0,0.0,9.13,2.0,0.0
20200115:0009,0.0,0.0,0.0,8.7,2.07,0.0
20200115:0109,0.0,0.0,0.0,8.42,2.14,0.0
20200115:0209,0.0,0.0,0.0,8.26,2.21,0.0
20200115:0309,0.0,0.0,0.0,8.03,2.28,0.0
20200115:0409,0.0,0.0,0.0,7.86,2.28,0.0
20200115:0509,0.0,0.0,0.0,7.65,2.21,0.0
20200115:0609,0.0,0.0,0.0,7.37,2.14,0.0
20200115:0709,0.0,0.0,0.0,7.19,2.41,0.0
20200115:0809,144.12,193.1,6.01,7.2,2.41,0.0
20200115:0909,382.4,471.03,16.13,9.49,1.86,0.0
20200115:1009,548.99,686.4,24.73,13.6,1.45,0.0
20200115:1109,655.2,844.05,31.1,16.88,1.24,0.0
20200115:1209,706.61,933.98,34.45,18.5,0.83,0.0
20200115:1309,694.73,934.76,34.23,19.3,0.0,0.0
20200115:1409,660.51,867.22,30.49,19.65,0.83,0.0
20200115:1509,548.15,699.54,23.82,19.54,1.66,0.0
20200115:1609,380.19,483.92,15.01,18.82,2.0,0.0
20200115:1709,83.03,123.29,4.75,17.15,2.0,0.0
20200115:1809,0.0,0.0,0.0,15.21,2.28,0.0
20200115:1909,0.0,0.0,0.0,14.15,2.34,0.0
20200115:2009,0.0,0.0,0.0,13.07,2.34,0.0
20200115:2109,0.0,0.0,0.0,12.2,2.41,0.0
20200115:2209,0.0,0.0,0.0,11.37,2.41,0.0
20200115:2309,0.0,0.0,0.0,10.66,2.21,0.0
20200116:0009,0.0,0.0,0.0,9.99,2.14,0.0
20200116:0109,0.0,0.0,0.0,9.45,2.07,0.0
20200116:0209,0.0,0.0,0.0,9.05,2.07,0.0
20200116:0309,0.0,0.0,0.0,8.64,2.07,0.0
20200116:0409,0.0,0.0,0.0,8.21,2.07,0.0
20200116:0509,0.0,0.0,0.0,7.69,2.07,0.0
20200116:0609,0.0,0.0,0.0,6.8,1.86,0.0
20200116:0709,0.0,0.0,0.0,5.4,1.59,0.0
20200116:0809,141.89,188.88,6.07,5.33,1.24,0.0
20200116:0909,392.69,484.6,16.22,8.23,0.9,0.0
20200116:1009,553.9,698.38,24.84,13.3,0.62,0.0
20200116:1109,653.71,850.25,31.24,15.91,0.34,0.0
20200116:1209,712.7,948.06,34.63,17.48,0.34,0.0
20200116:1309,717.67,948.87,34.43,18.51,0.97,0.0
20200116:1409,675.57,881.37,30.69,18.98,1.24,0.0
20200116:1509,559.21,713.2,24.02,18.93,1.59,0.0
20200116:1609,383.82,488.17,15.2,18.24,1.72,0.0
20200116:1709,99.26,144.25,4.93,16.72,1.59,0.0
20200116:1809,0.0,0.0,0.0,15.01,1.38,0.0
20200116:1909,0.0,0.0,0.0,13.35,1.03,0.0
20200116:2009,0.0,0.0,0.0,11.53,1.17,0.0
20200116:2109,0.0,0.0,0.0,9.9,1.72,0.0
20200116:2209,0.0,0.0,0.0,8.84,1.86,0.0
20200116:2309,0.0,0.0,0.0,7.95,1.79,0.0
20200117:0009,0.0,0.0,0.0,7.4,1.86,0.0
20200117:0109,0.0,0.0,0.0,7.21,2.0,0.0
20200117:0209,0.0,0.0,0.0,6.6,1.79,0.0
20200117:0309,0.0,0.0,0.0,6.07,1.66,0.0
20200117:0409,0.0,0.0,0.0,5.69,1.72,0.0
20200117:0509,0.0,0.0,0.0,5.63,1.86,0.0
20200117:0609,0.0,0.0,0.0,5.58,1.86,0.0
20200117:0709,0.0,0.0,0.0,5.09,1.66,0.0
20200117:0809,141.87,190.15,6.14,6.27,1.1,0.0
20200117:0909,372.7,460.96,16.31,8.74,0.83,0.0
20200117:1009,538.85,674.93,24.96,13.95,1.31,0.0
20200117:1109,661.68,844.81,31.4,16.69,1.93,0.0
20200117:1209,708.71,920.42,34.81,18.65,2.0,0.0
20200117:1309,716.2,936.65,34.63,19.69,1.93,0.0
20200117:1409,644.15,827.15,30.9,19.94,2.41,0.0
20200117:1509,517.95,653.34,24.22,19.59,2.83,0.0
20200117:1609,330.44,419.65,15.4,18.66,2.76,0.0
20200117:1709,63.68,96.54,5.11,16.87,2.55,0.0
20200117:1809,0.0,0.0,0.0,15.08,2.62,0.0
20200117:1909,0.0,0.0,0.0,13.82,2.69,0.0
20200117:2009,0.0,0.0,0.0,12.94,2.55,0.0
20200117:2109,0.0,0.0,0.0,12.17,2.34,0.0
20200117:2209,0.0,0.0,0.0,11.54,2.07,0.0
20200117:2309,0.0,0.0,0.0,10.92,1.79,0.0
20200118:0009,0.0,0.0,0.0,10.19,1.59,0.0
20200118:0109,0.0,0.0,0.0,9.43,1.52,0.0
20200118:0209,0.0,0.0,0.0,8.81,1.52,0.0
20200118:0309,0.0,0.0,0.0,7.8,1.66,0.0
20200118:0409,0.0,0.0,0.0,7.13,1.66,0.0
20200118:0509,0.0,0.0,0.0,6.75,1.66,0.0
20200118:0609,0.0,0.0,0.0,6.66,1.72,0.0
20200118:0709,0.0,0.0,0.0,6.07,1.45,0.0
20200118:0809,137.2,184.19,6.21,6.29,1.17,0.0
20200118:0909,369.43,458.18,16.4,9.21,0.69,0.0
20200118:1009,568.84,719.77,25.09,13.96,0.62,0.0
20200118:1109,635.4,822.31,31.55,16.27,0.48,0.0
20200118:1209,701.92,927.27,35.0,17.96,0.62,0.0
20200118:1309,701.63,921.01,34.84,18.96,1.24,0.0
20200118:1409,667.34,866.55,31.12,19.35,1.52,0.0
20200118:1509,545.51,696.24,24.43,19.29,1.45,0.0
20200118:1609,371.28,473.81,15.6,18.75,1.45,0.0
20200118:1709,84.44,124.93,5.3,17.45,1.52,0.0
20200118:1809,0.0,0.0,0.0,15.57,1.72,0.0
20200118:1909,0.0,0.0,0.0,14.36,1.52,0.0
20200118:2009,0.0,0.0,0.0,13.5,0.76,0.0
20200118:2109,0.0,0.0,0.0,13.56,0.62,0.0
20200118:2209,0.0,0.0,0.0,11.62,1.31,0.0
20200118:2309,0.0,0.0,0.0,10.95,1.93,0.0
20200119:0009,0.0,0.0,0.0,10.78,2.21,0.0
20200119:0109,0.0,0.0,0.0,11.11,2.41,0.0
20200119:0209,0.0,0.0,0.0,11.49,2.62,0.0
20200119:0309,0.0,0.0,0.0,11.9,2.97,0.0
20200119:0409,0.0,0.0,0.0,12.43,3.17,0.0
20200119:0509,0.0,0.0,0.0,12.9,3.03,0.0
20200119:0609,0.0,0.0,0.0,12.94,2.62,0.0
20200119:0709,0.0,0.0,0.0,13.32,2.76,0.0
20200119:0809,136.47,190.5,6.28,13.42,2.9,0.0
